35.98, 78.25, 0
30.76, 44.47, 0
36.19, 73.55, 0
61.78, 86.91, 1
80.58, 76.45, 1
46.19, 57.78, 0
62.65, 98.31, 1
75.30, 48.14, 1
76.48, 87.48, 1
84.69, 43.80, 1
96.12, 40.10, 0
75.56, 32.49, 0
83.58, 78.23, 1
70.10, 98.19, 1
39.91, 77.13, 0
54.48, 89.82, 1
69.10, 53.92, 1
69.87, 48.38, 0
70.68, 94.20, 1
77.70, 47.80, 1
68.45, 43.67, 0
90.71, 67.57, 1
50.83, 49.73, 0
34.33, 44.97, 0
79.37, 69.16, 1
63.61, 70.55, 1
81.39, 45.13, 1
93.99, 38.83, 0
62.29, 50.78, 0
39.81, 65.43, 0
62.07, 74.30, 1
86.23, 57.16, 1
52.89, 64.08, 0
53.70, 70.04, 1
41.88, 72.30, 0
54.74, 52.73, 0
35.09, 99.83, 0
64.57, 81.39, 1
76.35, 42.81, 0
34.47, 76.67, 0
84.71, 57.23, 1
52.96, 47.66, 0
94.47, 65.72, 1
83.55, 41.51, 0
52.90, 46.01, 0
62.97, 53.15, 0
77.42, 72.27, 1
99.04, 88.54, 1
63.33, 96.80, 1
92.20, 88.92, 1
81.20, 74.28, 1
100.00, 61.95, 1
91.16, 44.42, 1
35.94, 62.02, 0
50.92, 50.43, 0
50.28, 61.14, 0
99.37, 70.39, 1
34.33, 97.34, 0
74.59, 71.53, 1
73.72, 79.99, 1
77.15, 85.89, 1
36.58, 47.67, 0
57.53, 41.02, 0
30.81, 51.13, 0
45.00, 67.49, 0
67.82, 42.52, 0
41.07, 98.06, 1
50.90, 53.11, 0
80.47, 93.37, 1
67.13, 62.55, 1
34.45, 43.97, 0
64.31, 79.56, 1
72.98, 96.73, 1
60.86, 73.23, 1
59.94, 76.67, 1
100.00, 73.34, 1
48.03, 88.60, 1
50.89, 76.90, 1
61.28, 44.31, 0
82.34, 43.61, 0
89.99, 70.07, 1
95.92, 47.41, 1
67.72, 66.90, 1
57.36, 60.84, 1
80.40, 91.54, 1
70.42, 87.12, 1
42.56, 80.21, 0
75.75, 91.68, 1
80.35, 98.45, 1
53.04, 61.74, 0
95.45, 78.57, 1
91.37, 88.24, 1
56.04, 35.72, 0
75.38, 85.18, 1
90.64, 47.20, 1
84.51, 50.21, 1
42.45, 89.09, 1
99.51, 69.40, 1
56.91, 66.14, 1
75.71, 90.13, 1
